Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
150 G. Sgr,,,150,,178840,94272,19h 11m 18.80s,−29° 30′ 08.1″,6.28,0.34,502,B8/B9V,
30 Sgr,,30,105,,174309,92480,18h 50m 50.50s,−22° 09′ 43.6″,6.29,1.91,245,F2IV,
17 G. Sgr,,,17,,164245,88294,18h 01m 48.30s,−36° 22′ 40.1″,6.3,-0.42,721,B7/B8II/III,
64 G. Sgr,,,64,,169398,90336,18h 25m 54.61s,−33° 56′ 44.5″,6.3,-1.05,962,B7III,
143 G. Sgr,,,143,,178075,93993,19h 08m 14.56s,−24° 39′ 26.5″,6.3,-0.27,672,B9.5V,
282 G. Sgr,,,282,,192433,99878,20h 15m 50.59s,−30° 00′ 19.1″,6.3,-1.43,1148,K4III,
V4434 Sgr,,,283,V4434,192472,99920,20h 16m 23.61s,−36° 27′ 12.7″,6.3,-0.78,851,M4III,
V3894 Sgr,,,4,V3894,161756,87163,17h 48m 27.84s,−26° 58′ 29.8″,6.31,-1.4,1136,B3Vn,
68 G. Sgr,,,68,,169851,90478,18h 27m 43.76s,−26° 38′ 05.1″,6.31,1.87,252,A7V,
90 G. Sgr,,,90,,172875,91901,18h 44m 07.93s,−36° 43′ 05.6″,6.31,1.11,357,K0III,
129 G. Sgr,,,129,,176593,93418,19h 01m 33.52s,−15° 16′ 57.4″,6.31,0.14,559,K0III,
263 G. Sgr,,,263,,189388,98579,20h 01m 26.76s,−40° 48′ 51.3″,6.31,1.64,280,A2/A3V,
V3879 Sgr,,,89,V3879,172816,91781,18h 42m 55.11s,−19° 17′ 02.9″,6.32,-1.55,1221,M4III,
39 G. Sgr,,,39,,166393,89114,18h 11m 14.79s,−19° 50′ 30.8″,6.33,1.09,365,A2V,
167 G. Sgr,,,167,,181401,95211,19h 22m 09.57s,−42° 00′ 57.4″,6.33,1.36,321,K1III,
53 Sgr,,53,217,,185404,96729,19h 39m 49.46s,−23° 25′ 39.4″,6.33,0.85,406,A0V,
V4405 Sgr,,,98,V4405,173425,92079,18h 46m 01.15s,−19° 36′ 22.9″,6.34,-0.43,738,M2/M3III,
96 G. Sgr,,,96,,173282,92016,18h 45m 18.64s,−21° 00′ 05.6″,6.35,2.58,185,F5/F6V,
127 G. Sgr,,,127,,176246,93315,19h 00m 24.78s,−24° 56′ 32.2″,6.35,-0.62,809,K0III,
48 G. Sgr,,,48,,167665,89620,18h 17m 23.66s,−28° 17′ 19.0″,6.36,4,97,F8V,
80 G. Sgr,,,80,,171416,91172,18h 35m 59.64s,−29° 41′ 56.7″,6.36,-1.2,1058,K1III,
125 G. Sgr,,,125,,176123,93234,18h 59m 26.78s,−18° 33′ 59.0″,6.37,-0.66,830,G5/G6II,
133 G. Sgr,,,133,,176903,93543,19h 03m 06.99s,−19° 06′ 10.9″,6.37,1.82,265,F5V,
36 G. Sgr,,,36,,165978,89010,18h 09m 59.96s,−32° 43′ 09.4″,6.39,1.15,365,K0III,
151 G. Sgr,,,151,,179201,94372,19h 12m 28.02s,−21° 39′ 30.0″,6.39,0.66,457,K0III,
34 G. Sgr,,,34,,165784,88876,18h 08m 38.59s,−21° 26′ 58.4″,6.42,-3.41,3019,A2/A3Iab,
