Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
HD 16589,,,16589,12300,02h 38m 24.75s,−37° 59′ 25.4″,6.48,2.84,174,F6V,spectroscopic binary
HD 22333,,,22333,16697,03h 34m 52.37s,−25° 34′ 58.5″,6.48,0.16,599,K0III,
χ3 For,χ3,,21635,16156,03h 28m 11.50s,−35° 51′ 12.3″,6.49,1.26,362,A1V,double star
TY For,,TY,15634,11644,02h 30m 13.67s,−25° 11′ 11.5″,6.5,1.36,347,A9V:n,"δ Sct variable; *V*max = 6.49m, *V*min = 6.51m, *P* = 0.05 d"
η1 For,η1,,17528,13040,02h 47m 33.78s,−35° 33′ 01.9″,6.51,0.12,619,K0/K1III,
TZ For,,TZ,20301,15092,03h 14m 40.09s,−35° 33′ 27.6″,6.89,,567,F7III+G8III,"Algol variable; *V*max = 6.84m, *V*min = 7.05m, *P* = 75.6675 d"
HD 20782,,,20782,15527,03h 20m 03.58s,−28° 51′ 14.7″,7.38,4.6,117,G3V,has a planet (b)
R For,,R,,11582,02h 29m 15.31s,−26° 05′ 55.7″,7.5,,2250,C...,"Mira variable; *V*max = 7.5m, *V*min = 13.0m, *P* = 386 d"
UX For,,UX,17084,12716,02h 43m 35.57s,−37° 55′ 42.5″,8.1,,132.6,G6V+...,"RS CVn variable; *V*max = 7.97m, *V*min = 8.11m, *P* = 0.956 d"
HD 20781,,,20781,15526,03h 20m 03s,−28° 47′ 02″,8.44,,115,G9.5V,has two planets (b & c)
WASP-72,,,,,02h 44m 9.6s,−30° 10′ 09″,9.6,,,F7,has a planet (b)
HD 20868,,,20868,15578,03h 20m 42.69s,−33° 43′ 48.4″,9.92,6.47,159,K3/4IV,has a planet (b)
HIP 13044,,,,13044,02h 47m 37s,−36° 06′ 27″,9.94,,2286,F2,has a planet (b)
UZ For,,UZ,,,03h 35m 28.64s,−25° 44′ 21.8″,18.2,,,M4.5,"AM Her variable and eclipsing binary; *V*max = 17.0m, *V*min = 20.9m, *P* = 
0.0878654325 d"
LP 944-20,,,,,03h 39m 35.22s,−35° 25′ 44.09″,18.69,,20.9,M9,brown dwarf
UDF 2457,,,,,03h 32m 38.79s,−27° 48′ 10.0″,25,,59000,MV,one of the most distant stars known in the Milky Way
"Table legend: 
[TABLE]",,,,,,,,,,,
