Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
HD 155951,,,155951,84700,17h 18m 51.78s,−62° 52′ 28.3″,6.5,0.39,542,K1III,
HD 157832,,V750,157832,85467,17h 27m 54.81s,−47° 01′ 34.4″,6.65,-5.07,7200,B2Vne,"γ Cas variable, *V*max = 6.62m, *V*min = 6.68m, *P* = 1.10406 d"
HD 156411,,,156411,84787,17h 19m 51.40s,−48° 32′ 57.5″,6.67,2.96,180,G1Vw…,has a planet (b)
R Ara,,R,149730,81589,16h 39m 44.74s,−56° 59′ 39.8″,6.73,2.2,262,B9IV/V,"Algol variable, *V*max = 6.17m, *V*min = 7.32m, *P* = 4.42522 d"
HD 155555,,V824,155555,84586,17h 17m 25.50s,−66° 57′ 03.7″,6.77,4.18,102.5,G5IV+K0IV-V,"RS CVn variable, Δ*V* = 0.07m, *P* = 1.6816 d"
HD 156385,,,156385,84757,17h 19m 29.90s,−45° 38′ 23.9″,6.92,,,WC7.5,Wolf–Rayet star
HD 154857,,,154857,84069,17h 11m 15.72s,−56° 40′ 50.9″,7.25,3.07,223,G5V,has 2 confirmed planets (b & c)
V535 Ara,,V535,159441,86306,17h 38m 05.55s,−56° 49′ 17.3″,7.36,2.02,381,A8V,"W UMa variable, *V*max = 7.17m, *V*min = 7.75m, *P* = 0.62930098 d"
HD 154672,,,154672,83983,17h 10m 04.91s,−56° 26′ 57.4″,8.21,4.12,215,G3IV,has a planet (b)
RW Ara,,RW,158830,,17h 34m 49.23s,−57° 08′ 50.5″,8.97,,,A1IV,"Algol variable, *V*max = 8.85m, *V*min = 11.45m, *P* = 4.3674535 d"
HD 152079,,,152079,82632,16h 53m 29.74s,−46° 19′ 58.6″,9.2,4.55,278,G6V,has a planet (b)
Gliese 674,,,,85523,17h 28m 39.95s,−46° 53′ 42.7″,9.36,11.08,15,M2.5,has a planet (b)
Gliese 676A,,,,85647,17h 30m 11.20s,−51° 38′ 13.1″,9.59,8.55,53,M0,component of Gliese 676 system; has a planet (b)
S Ara,,S,,88064,17h 59m 10.75s,−49° 26′ 00.5″,10.73,1.81,1980,A3,"RR Lyr variable, *V*max = 9.92m, *V*min = 11.24m, *P* = 0.451848 d"
SAO 244567,,V839,,,17h 16m 21.08s,−59° 29′ 23.3″,10.75,-2.96,18000,B3e,central star of Stingray Nebula
AE Ara,,AE,,,17h 41m 04.91s,−47° 03′ 27.0″,11,,,M2-5.5+Be,"Z And variable, *V*max = 11.0m, *V*min = 13.6m, *P* = 803.4 d"
CPD -56 8032,,V837,,83916,17h 09m 00.86s,−56° 54′ 48.1″,11.04,,,WC10,"central star of planetary nebula; Wolf–Rayet star *V*max = 10.9m, *V*min = 
12.4m"
AT Ara,,AT,,,17h 30m 33.80s,−46° 05′ 58.9″,11.5,,,K2+,"SS Cyg variable, *V*max = 11.5m, *V*min = 15.32m, *P* = 0.37555 d"
GX 339-4,,V821,,,17h 02m 49.36s,−48° 47′ 22.8″,15.5,,,,"X-ray nova, *V*max = 15.4m, *V*min = 20.4m, *P* = 1.7557 d"
BPM 25114,,V820,,,17h 47m 46.9s,−52° 07′ 10″,15.62,,,DA:,"variable white dwarf, *V*max = 15.57m, *V*min = 15.74m, *P* = 2.8391 d"
Westerlund 1-26,,,,,16h 47m 05.40s,−45° 50′ 36.8″,16.79,,,M5-6Ia,in Westerlund 1; one of the largest known stars
4U 1636-53,,V801,,,16h 40m 55.5s,−53° 45′ 05″,17.5,,,A1IV,"X-ray burster, *V*max = 16.5m, *V*min = 19.5m, *P* = 0.15804693 d"
SGR 1627-41,,,,,16h 35m 52s,−47° 35.2′,,,11000,,soft gamma repeater
Gliese 676B,,,,,17h 30.2m,−51° 38′,,,,M3,component of Gliese 676 system
BF Ara,,BF,,,17h 38m 21.33s,−47° 10′ 41.5″,,,,,SU UMa variable
OY Ara,,OY,149990,,16h 40m 50.27s,−52° 25′ 51.3″,,,,,nova and Algol variable
CXOU J164710.2-455216,,,,,16h 47m 10.20s,−45° 52′ 16.8″,,,,,in Westerlund 1 Anomalous X-ray pulsar
PSR J1644-4559,,,,,16h 44m 49.28s,−45° 59′ 09.5″,,,,,pulsar
XTE J1650-500,,,,,16h 50m 00.98s,−49° 57′ 43.6″,,,,K4V,Low-mass X-ray binary; black hole candidate
XTE J1701-462,,,,,17h 00m 58.46s,−46° 11′ 08.6″,,,,,Low-mass X-ray binary
"Table legend: 
[TABLE]",,,,,,,,,,,
