Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
83 Tau,,83,,,28556,21036,04h 30m 37.30s,+13° 43′ 28.0″,5.4,2.1,149,F0V,member of the Hyades star cluster
115 Tau,,115,,,35671,25499,05h 27m 10.09s,+17° 57′ 44.2″,5.4,-1.16,668,B5V,
,,,,,23753,17776,03h 48m 20.80s,+23° 25′ 16.9″,5.44,0.36,338,B8V,
Celaeno,,16,,,23288,17489,03h 44m 48.20s,+24° 17′ 22.5″,5.45,0.4,334,B7IV,member of the Pleiades star cluster
33 G. Tau,,,33,,25570,18975,04h 03m 56.51s,+08° 11′ 49.9″,5.45,2.67,117,F2V,member of the Hyades star cluster
93 Tau,,93,,,29589,21735,04h 40m 03.42s,+12° 11′ 51.5″,5.45,0.33,345,B8IV,
36 Tau,,36,,,25555,19009,04h 04m 21.67s,+24° 06′ 21.7″,5.46,-1.87,953,G0III...,
81 Tau,,81,,,28546,21039,04h 30m 38.83s,+15° 41′ 31.0″,5.47,2.24,145,Am,member of the Pleiades star cluster
118 Tau,,118,,,35943,25695,05h 29m 16.49s,+25° 09′ 01.1″,5.47,-0.15,434,B9Vn,
130 Tau,,130,,,38558,27338,05h 47m 26.20s,+17° 43′ 44.9″,5.47,-2.48,1268,F0III,
53 Tau,,53,,V1024,27295,20171,04h 19m 26.08s,+21° 08′ 32.7″,5.5,0.93,267,B9IV,V1024 Tau; α² CVn variable
103 Tau,,103,,,32990,23900,05h 08m 06.62s,+24° 15′ 54.7″,5.5,-4.48,3228,B2V...,
,,,,,36408,25950,05h 32m 14.14s,+17° 03′ 29.4″,5.5,-2.17,1116,B7III,
ω1 Tau,ω1,43,,,26162,19388,04h 09m 09.90s,+19° 36′ 33.5″,5.51,0.76,291,K2III,
,,,,,31539,23043,04h 57m 22.35s,+17° 09′ 13.3″,5.51,-0.29,472,K1III,
116 Tau,,116,,,35770,25555,05h 27m 45.61s,+15° 52′ 26.8″,5.52,-0.67,565,B9.5Vn,
72 Tau,,72,,,28149,20789,04h 27m 17.45s,+22° 59′ 46.9″,5.53,0.01,415,B7V,
44 Eri,,-44,54,,28375,20884,04h 28m 32.11s,+01° 22′ 51.1″,5.53,0.17,385,B3V,
122 Tau,,122,,,37147,26382,05h 37m 03.71s,+17° 02′ 25.5″,5.53,1.87,176,F0V,member of the Hyades star cluster
135 Tau,,135,,,39019,27581,05h 50m 28.90s,+14° 18′ 20.5″,5.54,0.63,312,G9III:,
12 Tau,,12,13,,22796,17103,03h 39m 51.14s,+03° 03′ 24.6″,5.55,0.1,400,G6III:,
57 Tau,h,57,,V483,27397,20219,04h 19m 57.63s,+14° 02′ 06.9″,5.58,2.32,146,F3V...,V483 Tau; member of the Hyades star cluster; δ Sct variable
80 Tau,,80,,,28485,20995,04h 30m 08.53s,+15° 38′ 16.4″,5.58,2.38,142,F0V...,member of the Hyades star cluster
,,,,,39004,27629,05h 50m 58.11s,+27° 58′ 04.2″,5.6,0.29,376,G7III:,
137 Tau,,137,,V809,39317,27743,05h 52m 22.30s,+14° 10′ 18.5″,5.6,-0.39,515,B9p...,V809 Tau; α² CVn variable
32 Tau,,32,,,24740,18471,03h 56m 52.03s,+22° 28′ 41.7″,5.62,2.36,146,F2IV,
51 Tau,,51,,,27176,20087,04h 18m 23.14s,+21° 34′ 45.8″,5.64,1.95,179,F0V,member of the Hyades star cluster
63 Tau,,63,,,27749,20484,04h 23m 25.00s,+16° 46′ 38.4″,5.64,2.27,154,A1m,member of the Hyades star cluster
18 Tau,,18,,,23324,17527,03h 45m 09.73s,+24° 50′ 21.7″,5.66,0.4,368,B8V,
31 Tau,,31,21,,24263,18089,03h 52m 00.22s,+06° 32′ 05.7″,5.66,-1.01,704,B5V,
26 G. Tau,,,26,,25330,18805,04h 01m 46.13s,+09° 59′ 52.9″,5.67,-0.52,565,B5V,
60 G. Tau,,,60,,28978,21295,04h 34m 08.28s,+05° 34′ 07.1″,5.67,0.18,408,A2Vs,
120 Tau,,120,,V960,36576,26064,05h 33m 31.63s,+18° 32′ 24.8″,5.67,-3.13,1874,B2IV-Ve,V960 Tau; Be star
13 Tau,,13,,,23016,17309,03h 42m 18.94s,+19° 42′ 01.0″,5.68,0.19,409,B9Vn,
45 Tau,,45,38,,26462,19554,04h 11m 20.20s,+05° 31′ 22.9″,5.71,2.78,126,F4V,member of the Hyades star cluster
60 Tau,,60,,V775,27628,20400,04h 22m 03.45s,+14° 04′ 38.1″,5.72,2.42,149,A3m,"V775 Tau; member of the Hyades star cluster; spectroscopic binary; δ Sct 
variable"
