Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
23 Peg,,23,,,209833,109056,22h 05m 34.65s,+28° 57′ 50.4″,5.69,0.84,304,B9Vn,
,,,,,214850,111974,22h 40m 52.52s,+14° 32′ 55.9″,5.72,3.14,107,G3V+...,
,,,,,210074,109209,22h 07m 28.52s,+19° 28′ 31.6″,5.74,1.81,199,F2V:,
,,,,,209761,109023,22h 05m 11.32s,+26° 40′ 25.0″,5.75,0.32,397,K2III,
34 Peg,,34,32,,212754,110785,22h 26m 37.22s,+04° 23′ 37.1″,5.76,2.78,129,F7V,
52 Peg,,52,,,217232,113503,22h 59m 11.80s,+11° 43′ 44.2″,5.76,1.2,266,A7V,
NZ Peg,,,,NZ,206043,106897,21h 39m 01.11s,+20° 15′ 55.6″,5.77,2.81,127,F2V,γ Dor variable
80 Peg,,80,51,HH,223637,117628,23h 51m 21.25s,+09° 18′ 48.6″,5.77,-1.2,807,M3III,HH Peg
,,,,,207840,107887,21h 51m 34.24s,+19° 49′ 35.9″,5.78,-0.49,584,B8III,
,,,,,210502,109471,22h 10m 37.46s,+11° 37′ 28.8″,5.78,-0.63,625,M1III,
25 Peg,,25,,,210129,109240,22h 07m 50.33s,+21° 42′ 11.1″,5.79,-0.86,698,B7Vn,
,,,,,213179,110992,22h 29m 10.21s,+26° 45′ 47.6″,5.79,-1.85,1098,K2II,
85 Peg,,85,,,224930,171,00h 02m 09.65s,+27° 05′ 04.2″,5.8,5.33,40,G3V,
21 Peg,,21,,,209459,108875,22h 03m 19.02s,+11° 23′ 11.6″,5.83,-0.27,541,B9.5V,
NV Peg,,,,NV,204585,106062,21h 28m 59.76s,+22° 10′ 45.9″,5.84,-0.49,603,M4III,
40 Peg,,40,,,214567,111810,22h 38m 52.62s,+19° 31′ 21.0″,5.84,0.5,381,G8II,
,,,,,219139,114641,23h 13m 26.51s,+11° 03′ 54.1″,5.85,0.79,335,G5III:,
IM Peg,,,,IM,216489,112997,22h 53m 02.28s,+16° 50′ 28.5″,5.86,0.93,316,K1III SB,RS CVn variable
,,,,,211006,109730,22h 13m 38.65s,+28° 36′ 28.9″,5.87,1.45,249,K2III,
,,,,,214995,112067,22h 41m 57.40s,+14° 30′ 59.2″,5.92,1.36,267,K0III:,
HD 210702,,,,,210702,109577,22h 11m 51.33s,+16° 02′ 26.1″,5.93,2.19,182,K1III,has a planet (b)
79 Peg,,79,,,223461,117500,23h 49m 39.35s,+28° 50′ 32.4″,5.95,1.39,267,A2m,
HN Peg,,,,HN,206860,107350,21h 44m 31.19s,+14° 46′ 20.0″,5.96,4.64,60,G0V,BY Draconis variable
,,,,,210762,109602,22h 12m 08.09s,+24° 57′ 02.3″,5.97,-3.88,3047,K0,
HR 8799,,,,V342,218396,114189,23h 07m 28.65s,+21° 08′ 03.7″,5.97,2.96,130,A5V,"V342 Peg; has four planets (b, c, d & e)"
69 Peg,,69,,HV,220933,115806,23h 27m 40.37s,+25° 10′ 02.5″,5.99,0.73,367,A0MNp...,HV Peg; α² CVn variable
47 G. Peg,,,47,,222377,116768,23h 39m 54.99s,+09° 40′ 38.4″,5.99,2.16,190,A2m,
18 Peg,,18,17,,209008,108612,22h 00m 07.92s,+06° 43′ 02.8″,6,-1.58,1069,B3III,
,,,,,212988,110873,22h 27m 46.22s,+31° 50′ 23.9″,6,-1.29,937,K2,
,,,,,206540,107173,21h 42m 32.95s,+10° 49′ 27.6″,6.06,-0.59,697,B5IV,
IK Peg,,,,IK,204188,105860,21h 26m 26.61s,+19° 22′ 32.2″,6.08,2.76,150,A8m,
,,,,,210210,109276,22h 08m 17.26s,+25° 32′ 37.0″,6.08,1.4,281,F1IV,
,,,,,204862,106243,21h 31m 09.62s,+12° 08′ 15.0″,6.1,0.57,417,B9.5V,
,,,,,221662,116307,23h 33m 55.50s,+20° 50′ 27.5″,6.1,-1.42,1042,M3III,
,,,,,214200,111567,22h 36m 07.90s,+35° 34′ 39.5″,6.11,0.57,417,K0,
V343 Peg,,,,V343,218395,114187,23h 07m 27.74s,+32° 49′ 31.3″,6.13,0.24,491,A3,
23 Psc,,-23,,,223755,117710,23h 52m 23.42s,+21° 40′ 16.0″,6.13,0.01,547,M2III,
13 G. Peg,,,13,,208110,108090,21h 53m 57.72s,+06° 51′ 53.2″,6.14,0.63,413,G0IIIs,
,,,,,218235,114081,23h 06m 18.00s,+18° 31′ 03.4″,6.16,2.98,141,F6Vs,
,,,,,206027,106872,21h 38m 45.16s,+25° 29′ 55.7″,6.18,0.65,416,G9III,
