Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
HD 8651,,,8651,6592,01h 24m 40.77s,−41° 29′ 32.9″,5.42,1.03,247,K0III,
HD 10934,,,10934,8240,01h 46m 05.93s,−50° 48′ 58.4″,5.49,-1.1,679,M3III,semiregular variable
λ2 Phe,λ2,,3302,2802,00h 35m 41.13s,−48° 00′ 02.4″,5.51,2.72,118,F6V,
HD 224865,,,224865,107,00h 01m 20.11s,−50° 20′ 14.6″,5.53,-0.64,558,M2III,suspected variable
HD 3158,,,3158,2711,00h 34m 27.62s,−52° 22′ 23.5″,5.57,3.53,84,F3IV-V,
HD 12296,,,12296,9313,01h 59m 38.85s,−42° 01′ 49.0″,5.57,1.06,260,K1III,
HD 2726,,,2726,2383,00h 30m 25.97s,−48° 12′ 52.9″,5.67,2.4,147,F2V,
HD 142,,,142,522,00h 06m 19.0s,−49° 04′ 30″,5.7,3.66,67,G1 IV,"has three planets (b, c & d)"
τ Phe,τ,,224834,88,00h 01m 04.60s,−48° 48′ 35.5″,5.71,-0.41,546,G8III,
ξ Phe,ξ,,3980,3277,00h 41m 46.30s,−56° 30′ 05.2″,5.72,1.64,213,Ap,"α² CVn variable, *V*max = 5.68m, *V*min = 5.78m, *P* = 3.95 d"
HD 4391,,,4391,3583,00h 45m 45.43s,−47° 33′ 07.8″,5.8,4.93,49,G5IV,
HD 13336,,,13336,10035,02h 09m 09.33s,−43° 30′ 59.3″,5.84,-0.39,574,K1III,
HD 13940,,,13940,10440,02h 14m 31.96s,−41° 10′ 00.1″,5.91,0.86,334,G9III,
HD 4293,,,4293,3521,00h 44m 57.12s,−42° 40′ 34.8″,5.94,1.82,217,A7V,
BD Phe,,BD,11413,8593,01h 50m 54.48s,−50° 12′ 22.1″,5.94,1.57,244,A1V,"δ Sct variable, *V*max = 5.9m, *V*min = 5.94m"
HD 3750,,,3750,3137,00h 39m 51.91s,−44° 47′ 46.8″,6,1.16,303,K1IIICN...,
HD 221323,,,221323,116097,23h 31m 26.92s,−44° 50′ 36.7″,6.02,0.74,371,K0III,
HD 224022,,,224022,117880,23h 54m 38.34s,−40° 18′ 00.5″,6.03,3.8,91,F8IV,
HD 3303,,,3303,2789,00h 35m 33.32s,−54° 49′ 18.3″,6.04,1.59,253,K0IV,
θ Phe,θ,,222287,116737,23h 39m 27.92s,−46° 38′ 16.4″,6.07,1.42,278,A+...,
HD 222803,,,222803,117075,23h 44m 01.05s,−45° 04′ 59.3″,6.08,1.76,238,G8IV,
ω Phe,ω,,6192,4829,01h 02m 01.81s,−57° 00′ 08.7″,6.12,0.86,368,G8III,
HD 11332,,,11332,8552,01h 50m 20.08s,−47° 48′ 59.4″,6.14,0.25,490,K1IV,
HD 4304,,,4304,3527,00h 44m 59.72s,−53° 42′ 53.6″,6.15,2.87,148,F7III,
HD 9414,,,9414,7115,01h 31m 39.02s,−45° 34′ 32.6″,6.17,1.22,319,A2V,
HD 15064,,,15064,11231,02h 24m 33.71s,−40° 50′ 26.6″,6.17,3.7,102,G5IV,
HD 2724,,BB,2724,2388,00h 30m 27.83s,−40° 56′ 22.7″,6.18,0.63,420,F2III,"δ Sct variable, Δ*V* = 0.04m, *P* = 0.14 d"
HD 11022,,,11022,8320,01h 47m 16.69s,−41° 45′ 36.2″,6.18,-0.01,563,K5/M0III,
HD 220802,,,220802,115759,23h 27m 09.08s,−50° 09′ 26.2″,6.22,0.26,507,B9V,
AW Phe,,AW,9184,6952,01h 29m 30.54s,−46° 45′ 23.3″,6.22,-1.14,982,M3III,"semiregular variable, Δ*V* = 0.15m, *P* = 30.87 d"
HD 2529,,,2529,2256,00h 28m 42.98s,−50° 31′ 58.2″,6.26,0.93,380,K0III,
HD 8681,,,8681,6595,01h 24m 41.92s,−44° 31′ 42.7″,6.26,-0.11,613,K1II,
HD 9544,,,9544,7189,01h 32m 36.39s,−49° 43′ 39.1″,6.27,1.74,263,F4V,
HD 224750,,,224750,25,00h 00m 19.05s,−44° 17′ 25.1″,6.28,1.97,237,G3IV,
HD 4737,,,4737,3807,00h 48m 56.74s,−46° 41′ 51.7″,6.28,0.9,388,G8III,
HD 14832,,,14832,11043,02h 22m 11.70s,−43° 11′ 59.7″,6.3,0.64,441,K0III,
HD 469,,,469,730,00h 09m 02.35s,−54° 00′ 07.1″,6.32,0.55,466,G4IV...,
HD 13423,,,13423,10111,02h 10m 04.77s,−43° 48′ 56.0″,6.32,0.92,392,G8III,
HD 223011,,,223011,117219,23h 46m 01.18s,−40° 10′ 56.9″,6.32,2.25,213,A7V,
HD 1483,,,1483,1502,00h 18m 42.52s,−43° 14′ 08.1″,6.33,0.99,381,K2III,
HD 14509,,,14509,10832,02h 19m 24.76s,−41° 50′ 54.4″,6.36,0.29,534,K2III,
HD 3488,,,3488,2937,00h 37m 18.18s,−54° 23′ 37.7″,6.4,0.58,476,K0II/IIICN,
HD 7082,,,7082,5477,01h 10m 07.38s,−57° 41′ 38.9″,6.41,0.9,413,G6II/III,
HD 9895,,,9895,7443,01h 35m 50.60s,−39° 56′ 49.2″,6.43,3.55,123,F3/F5V,
HD 221051,,,221051,115907,23h 29m 00.80s,−44° 29′ 52.9″,6.43,0.36,533,K2III,
HD 11421,,,11421,8641,01h 51m 26.35s,−39° 50′ 09.2″,6.44,0.74,450,K1IIICN...,
HR 239,,AZ,4849,3903,00h 50m 03.76s,−43° 23′ 41.8″,6.47,1.56,316,A9/F0III,"δ Sct variable, Δ*V* = 0.015m, *P* = 0.049 d"
HD 224782,,,224782,50,00h 00m 34.29s,−53° 05′ 51.6″,6.49,2.63,193,G1IV,
HD 13387,,,13387,10096,02h 09m 48.43s,−40° 51′ 59.2″,6.49,2.32,222,F3V,
HD 223549,,,223549,117571,23h 50m 35.63s,−47° 22′ 37.3″,6.49,0.87,434,G8III,
HD 13218,,,13218,9951,02h 08m 05.70s,−41° 52′ 49.4″,6.5,1.8,284,A4V,
HD 5388,,,5388,4311,00h 55m 11.89s,−47° 24′ 21.5″,6.8,3.2,174,F6V,has a planet (b)
SX Phe,,SX,223065,117254,23h 46m 32.89s,−41° 34′ 54.8″,7.12,,254.7,A2V,"prototype SX Phe variable (double-mode), *V*max = 6.76m, *V*min = 7.53m, *P* 
= 0.055 d"
HD 6434,,,6434,5054,01h 04m 40.1511s,−39° 29′ 17.6″,7.72,4.69,131,G2/G3V,has a planet (b)
HD 8535,,,8535,6511,01h 23m 37.24s,−41° 16′ 11.3″,7.72,3.97,184,G0V,has a planet (b)
AE Phe,,AE,9528,7183,01h 32m 32.93s,−49° 31′ 41.3″,8.15,,165.1,G4V,"W UMa variable, *V*max = 7.56m, *V*min = 8.25m, *P* = 0.36 d"
AI Phe,,AI,6980,5438,01h 09m 34.19s,−46° 15′ 56.1″,8.6,,931,G3V,"Algol variable, *V*max = 8.58m, *V*min = 9.35m, *P* = 24.59 d"
HD 2039,,,2039,1931,00h 24m 20.28s,−56° 39′ 00.2″,9.01,4.24,293,G2/G3IV/V,has a planet (b)
WASP-18,,,10069,7562,01h 37m 25.03s,−45° 40′ 40.389″,9.3,4.18,344,F9,has a transiting planet (b)
AD Phe,,AD,,5955,01h 16m 38.07s,−39° 42′ 31.3″,10.47,,475,,"W UMa variable, *V*max = 10.27m, *V*min = 10.8m, *P* = 0.38 d"
WASP-29,,,,,23h 51m 31s,−39° 54′ 24″,11.3,,261,K4V,has a transiting planet (b)
RV Phe,,RV,,115870,23h 28m 31.45s,−47° 27′ 13.1″,12.16,,14000,F6:,"RR Lyr variable, *V*max = 11.551m, *V*min = 12.244m, *P* = 0.60 d"
WASP-96,,,,,00h 04m 11.0s,−47° 21′ 38″,12.2,,,G8,has a transiting planet (b)
WASP-5,,,,,23h 57m 23.76s,−41° 16′ 37.7″,12.26,4.9,968,G4V,has a transiting planet (b)
WASP-4,,,,,23h 34m 15.06s,−42° 03′ 41.1″,12.6,5.21,979,G7V,has a transiting planet (b)
YZ Phe,,YZ,,,01h 42m 25.85s,−45° 57′ 03.9″,12.7,,,K3V,"W UMa variable, *V*max = 12.70m, *V*min = 13.20m, *P* = 0.23 d"
WD 239-434,,,,,00h 02m 10.77s,−43° 09′ 56.02″,13.05,,26.662,DAP5.8,white dwarf
HE0107-5240,,,,,01h 09m 29.10s,−52° 24′ 34.0″,15.17,,,,one of the most metal-poor and oldest stars known
BPM 30551,,AX,,,01h 06m 53.64s,−46° 08′ 53.7″,15.42,,,DA4.4,"ZZ Cet variable, *V*max = 15.26m, *V*min = 15.42m"
"Table legend: 
[TABLE]",,,,,,,,,,,
