Name,B,F,G.[1],Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
,,,(52 Cau),,171802,91217,18h 36m 27.84s,+09° 07′ 22.1″,5.38,2.43,127,F5III,52 G. Ser Cau in Ophiuchus
21 G. Oph,,,21,,148513,80693,16h 28m 33.98s,+00° 39′ 54.6″,5.41,-0.15,422,K4IIIp,
146 G. Oph,,,146,,158352,85537,17h 28m 49.69s,+00° 19′ 50.1″,5.41,1.41,206,A8V,
208 G. Oph,,,208,,168387,89772,18h 19m 09.56s,+07° 15′ 35.1″,5.41,2.15,147,K2III,
88 G. Oph,,,88,,155078,83962,17h 09m 47.92s,−10° 31′ 22.9″,5.43,2.4,132,F5IV,
,,,(53 Cau),,171834,91237,18h 36m 39.09s,+06° 40′ 19.8″,5.43,2.92,103,F3V,53 G. Ser Cau in Ophiuchus
183 G. Oph,,,183,,163532,87847,17h 56m 47.75s,−04° 04′ 54.5″,5.44,-0.14,426,G9III,
202 G. Oph,,,202,,166460,89065,18h 10m 40.29s,+03° 19′ 27.4″,5.5,-0.01,412,K2III,
21 Oph,,21,52,,152127,82480,16h 51m 24.94s,+01° 12′ 57.5″,5.51,0.39,345,A2Vs,
40 G. Oph,,,40,,150453,81754,16h 41m 53.67s,−19° 55′ 28.1″,5.55,2.41,139,F3V,
24 Oph,,24,61,,152849,82925,16h 56m 48.04s,−23° 09′ 01.2″,5.57,0.34,363,A0V,
152 G. Oph,,,152,,158837,85749,17h 31m 21.35s,+02° 43′ 28.1″,5.57,0.28,373,G8III,
153 G. Oph,,,153,,159170,85922,17h 33m 29.87s,−05° 44′ 40.5″,5.61,2.19,158,A5V,
82 G. Oph,,,82,,154445,83635,17h 05m 32.26s,−00° 53′ 31.4″,5.63,-1.22,765,B1V,
HR 6902,,,(39 Cau),,169689,90313,18h 25m 38.80s,+08° 01′ 55.3″,5.64,-1.33,807,G8III-IV+..,39 G. Ser Cau in Ophiuchus
22 G. Oph,,,22,,148604,80793,16h 29m 46.90s,−14° 33′ 03.2″,5.66,1.09,268,G5III/IV,
