Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
R Cru,,R,107805,60455,12h 23m 37.69s,−61° 37′ 44.9″,6.9,0.94,508,F7Ib/II,"Cepheid variable, *V*max = +6.40m, *V*min = +7.23m, *P* = 5.82575 d"
HD 108147,,,108147,60644,12h 25m 46.27s,−64° 01′ 19.5″,6.99,4.05,126,F9V,has a planet (b)
AG Cru,,AG,110258,,12h 41m 25.98s,−59° 47′ 38.8″,7.9,,,F8Ib-II,"Cepheid variable, *V*max = +7.73m, *V*min = +8.58m, *P* = 3.83728 d"
HD 106906,,,106906,59960,12h 17m 53.19s,−55° 58′ 31.89″,7.8,,300,F5V,has a planet (b)
BH Cru,,BH,,59844,12h 16m 16.79s,−56° 17′ 09.6″,7.96,,8200,SC4.5-7/8e,"Mira variable, *V*max = +6.6m, *V*min = +9.8m, *P* = 530 d"
X Cru,,X,110945,,12h 46m 22.27s,−59° 07′ 29.1″,8.1,,,G1Ib,"Cepheid variable, *V*max = +8.1m, *V*min = +8.7m, *P* = 6.21997 d"
W Cru,,W,105998,59483,12h 11m 59.16s,−58° 47′ 00.7″,8.44,,,G2Iab,β Lyr variable
AB Cru,,AB,106871,59935,12h 17m 37.12s,−58° 09′ 52.4″,8.48,,3900,B2IVe,Algol variable
AI Cru,,AI,,59026,12h 06m 07.69s,−61° 15′ 24.8″,9.68,,2300,F7Ib-II,Algol variable
GX 301-2,,BP,,,12h 26m 37.56s,−62° 46′ 13.2″,10.66,,,B1.2Ia,"High-mass X-ray binary, *V*max = +10.4m, *V*min = +10.92m, *P* = 41.487 d"
WR 46,,DI,104994,58954,12h 05m 18.72s,−62° 03′ 10.1″,10.8,-2.25,13000,WN3p,"Wolf–Rayet star, *V*max = +10.49m, *V*min = +11.00m"
HDE 311884,,CD,311884,,12h 43m 51.00s,−63° 45′ 14.8″,10.81,,911,WN6o + O5V,"Wolf–Rayet star, Δ*V* = 0.11m, *P* = 6.24 d"
NGC 4349-127,,,,,12h 24m 35.47s,−61° 49′ 11.7″,10.82,,6500,KIII,has a planet
BI Cru,,BI,,,12h 23m 25.99s,−62° 38′ 16.1″,11,,,B+....,"Symbiotic star, *V*max = +11.0m, *V*min = +14.0m"
"Table legend: 
[TABLE]",,,,,,,,,,,
